Order_ID,Date,Product,Category,Region,Sales_Channel,Customer_Segment,Quantity,Sales,Profit
ORD00001,2025-01-13,Wireless Mouse,Electronics,North,Offline,Consumer,5,163990,33723.05
ORD00002,2025-02-17,Laptop Pro 14,Electronics,West,Online,Corporate,4,124780,11945.52
ORD00003,2025-05-23,USB-C Hub,Electronics,South,Offline,Consumer,1,21626,2463.43
ORD00004,2025-07-14,Wireless Mouse,Electronics,North,Offline,Consumer,2,95504,20804.43
ORD00005,2025-05-31,Water Bottle,Accessories,East,Online,Consumer,6,4050,818.47
ORD00006,2025-07-14,Wireless Mouse,Electronics,South,Offline,Small Business,5,300645,40629.65
ORD00007,2025-11-08,Wireless Mouse,Electronics,South,Offline,Consumer,3,212130,29120.09
ORD00008,2025-01-17,Office Chair,Furniture,East,Online,Small Business,6,61638,16027.19
ORD00009,2025-07-22,Backpack,Accessories,East,Offline,Small Business,8,18560,4108.21
ORD00010,2025-07-05,Gel Pen Pack,Stationery,North,Online,Small Business,4,4360,975.9
ORD00011,2025-12-15,Mechanical Keyboard,Electronics,West,Offline,Small Business,7,552104,103273.45
ORD00012,2025-12-15,Laptop Pro 14,Electronics,South,Offline,Consumer,2,142162,16704.75
ORD00013,2025-09-14,Standing Desk,Furniture,South,Offline,Consumer,3,14958,2842.96
ORD00014,2025-09-29,Water Bottle,Accessories,East,Offline,Consumer,1,459,34.76
ORD00015,2025-05-04,Laptop Pro 14,Electronics,South,Offline,Small Business,2,23852,5393.94
ORD00016,2025-05-16,Mechanical Keyboard,Electronics,East,Offline,Small Business,7,199220,28243.07
ORD00017,2025-03-03,Backpack,Accessories,South,Online,Consumer,4,1888,349.87
ORD00018,2025-12-29,Wireless Mouse,Electronics,South,Offline,Small Business,1,30707,2035.79
ORD00019,2025-04-20,Backpack,Accessories,West,Online,Consumer,3,6870,1583.28
ORD00020,2025-12-04,Wireless Mouse,Electronics,North,Online,Consumer,7,329966,82056.75
ORD00021,2025-06-23,Gel Pen Pack,Stationery,West,Online,Corporate,2,938,143.68
ORD00022,2025-05-08,Backpack,Accessories,North,Online,Consumer,2,1428,285.59
ORD00023,2025-07-28,Mechanical Keyboard,Electronics,North,Offline,Corporate,8,510336,44841.46
ORD00024,2025-05-27,Backpack,Accessories,South,Online,Small Business,7,10976,1028.19
ORD00025,2025-02-01,Water Bottle,Accessories,South,Online,Small Business,6,26514,6932.32
